side,tech,sess,regime,n_curves,n_days,curves_per_day,mean_n_tranche,mean_in_band_mw_per_curve,total_in_band_mw_per_day
supply,CCGT,1,pre_DA15,170279,144,1182.4930555555557,10.519359404271812,168.91049160495422,199735.48333333334
supply,CCGT,1,post_DA15,108441,83,1306.5180722891566,10.12224158759141,170.57441926946453,222858.56144578315
supply,CCGT,2,pre_DA15,196401,148,1327.0337837837837,8.98417014169989,139.39841294087097,184986.4033783784
supply,CCGT,2,post_DA15,124438,92,1352.5869565217392,8.810355357688167,137.42712515469552,185882.13695652175
supply,CCGT,3,pre_DA15,91621,151,606.7615894039735,9.151504567730106,137.06952991126488,83168.52582781456
supply,CCGT,3,post_DA15,55636,92,604.7391304347826,7.480336472787404,116.92038248616005,70706.33043478262
supply,ALL,1,pre_DA15,6038514,144,41934.125,1.78356860644854,18.927507082040382,793708.4479166666
supply,ALL,1,post_DA15,2726893,83,32854.132530120485,2.082150638107179,22.772267962109254,748163.1096385543
supply,ALL,2,pre_DA15,5471043,148,36966.50675675676,1.7993724414156496,19.22280115509968,710599.8087837839
supply,ALL,2,post_DA15,3550117,92,38588.22826086957,1.9227459264018623,16.54370954534738,638392.4402173912
supply,ALL,3,pre_DA15,3027416,151,20049.112582781458,1.7084440988618677,16.76517419475883,336126.8649006622
supply,ALL,3,post_DA15,1851007,92,20119.641304347828,1.7727739549337198,13.720465292675826,276050.8402173914
demand,ALL,1,pre_DA15,3442979,144,23909.57638888889,2.433329392947212,19.911805532360205,476082.83541666664
demand,ALL,1,post_DA15,1832608,83,22079.614457831325,2.7954374312455257,24.731397494717914,546059.721686747
demand,ALL,2,pre_DA15,3244175,148,21920.10135135135,2.1259710095787065,17.60380562084351,385877.20337837836
demand,ALL,2,post_DA15,2104343,92,22873.293478260868,2.3816958547156997,18.560158158627182,424531.9445652175
demand,ALL,3,pre_DA15,1431976,151,9483.28476821192,2.0686903970457604,17.70896425638418,167939.15099337752
demand,ALL,3,post_DA15,988006,92,10739.195652173914,2.268922455936502,20.235537537221433,217313.39673913043
