"reform","side","outcome","eff","lo","hi","p","n_pre","n_post"
"ID15","real","da_price_eur",-38.3895560199093,-62.0114932916045,-11.3430524257503,0.00371747211895911,278,40
"ID15","real","ida_price_eur",-38.3434446525004,-63.4844245678784,-12.4396523182129,0.00309214594928881,278,40
"ID15","real","wedge",1.00368672489013,-0.927256286666359,3.07837917735038,0.157548125633232,278,40
"ID15","placebo","da_price_eur",-13.709620139792,-39.7163857765865,11.8974239631016,0.142495250158328,279,40
"ID15","placebo","ida_price_eur",-18.0820684278365,-45.7770240081369,7.94907573171463,0.0902439024390244,279,40
"ID15","placebo","wedge",0.842992621628296,-1.13851969963298,2.84389647801696,0.203703703703704,279,40
"DA15","real","da_price_eur",2.2084909872614,-24.6668029129591,31.2919616117578,0.444567015995587,156,92
"DA15","real","ida_price_eur",5.65925695238489,-24.04528866213,35.5425074579385,0.352469135802469,155,92
"DA15","real","wedge",-1.8550313916266,-4.03021168119465,-0.0279176446618232,0.0229007633587786,155,92
"DA15","placebo","da_price_eur",5.38623360793638,-15.5253266206454,31.9141529783623,0.387096774193548,156,92
"DA15","placebo","ida_price_eur",10.1626020142399,-10.8150138846861,34.956456372043,0.238163558106169,156,92
"DA15","placebo","wedge",-1.57332100265682,-3.8742164368885,1.78423405900677,0.133066533266633,156,92
