spec,baseline,n_months,crit_pre,crit_pre_se,crit_pre_p,did,did_se,did_p,crit_post,n
A: sparse,full,78.53333333333333,41.12994966515057,3.3557630376819785,1.5503066159357182e-34,58.67424408136269,12.181014603325826,1.4583480848399545e-06,99.80419374651325,78177
A: sparse,excl_crisis,54.2,72.78436414418172,4.190928485522527,1.4638768080062008e-67,27.143549913382216,12.441116855258835,0.029127138529629743,99.92791405756394,54895
A: sparse,recent_2y,24.366666666666667,-33.37844006546812,4.407510294928643,3.644700506019324e-14,132.60933467257297,12.498187931894488,2.669338928702433e-26,99.23089460710486,26805
A: sparse,recent_1y,12.2,-17.13567025942192,5.64651060627223,0.002407461432242167,116.41041002756035,12.99909804287628,3.3891056683847525e-19,99.27473976813843,15157
A: sparse,recent_6m,6.1,-13.835587559345688,8.218534276984082,0.09228575067209098,112.8082647513309,14.292058146896485,2.948339665570119e-15,98.97267719198521,9310
B: renewables,full,78.53333333333333,59.097748344593,7.647449648562777,1.0944501526417668e-14,50.39349238213495,11.313114148657514,8.411576640470677e-06,109.49124072672795,78177
B: renewables,excl_crisis,54.2,106.12262002864983,8.8996057310146,8.829878684465405e-33,28.75005835106489,11.283232035484067,0.010833192618138917,134.87267837971473,54895
B: renewables,recent_2y,24.366666666666667,-59.485395039349115,11.035081883904644,7.023406548883372e-08,121.49052749651086,12.44658239839724,1.6558890467737966e-22,62.00513245716175,26805
B: renewables,recent_1y,12.2,-12.352151220785517,13.39234879623113,0.3563570093057269,107.15712185606056,13.215330718045951,5.122891671765327e-16,94.80497063527504,15157
B: renewables,recent_6m,6.1,13.775543123356679,18.17897651978113,0.44858670586013494,107.43532247568783,14.442701518088906,1.0165970094480301e-13,121.21086559904451,9310
C: ren+demand,full,78.53333333333333,-94.07715987734034,24.335876683533424,0.00011073445388701323,40.05750932284912,10.671335911558797,0.00017420977941394784,-54.019650554491214,78177
C: ren+demand,excl_crisis,54.2,28.021754388626583,32.484291139894296,0.3883438032832621,10.606133974112304,10.769555146433115,0.32470972694208255,38.62788836273889,54895
C: ren+demand,recent_2y,24.366666666666667,-58.42735510969205,33.88243949457233,0.0846331208494496,123.6154199165781,12.817258142026567,5.188802019156307e-22,65.18806480688605,26805
C: ren+demand,recent_1y,12.2,-72.17464301445135,49.05459719888072,0.1412066190098174,97.24356058906638,13.054995464317676,9.421981233815927e-14,25.06891757461503,15157
C: ren+demand,recent_6m,6.1,-109.63152259853369,66.81547789963983,0.1008368049145902,101.21041768637748,14.761221193362045,7.056458297750927e-12,-8.42110491215621,9310
