firm,unit_code,zone,dominant_in_zone,regime,n_days,median_bid
GE,PGR5,Galicia,1,post,219,1789.4
GE,BES5,Cataluna,0,post,173,1816.4
GE,BES3,Cataluna,0,post,178,472.7
GE,SROQ2,Sur,0,post,207,409.9
GE,COL4,Sur,0,post,48,109.2
GE,PGR5,Galicia,1,pre,394,2679.8
GE,BES5,Cataluna,0,pre,448,2714.0
GE,COL4,Sur,0,pre,225,2475.6
GE,SROQ2,Sur,0,pre,385,1781.8
GE,BES3,Cataluna,0,pre,369,1345.8
GN,MALA1,Sur,1,post,112,874.3
GN,SROQ1,Sur,1,post,250,861.7
GN,CTGN3,Levante,1,post,250,858.3
GN,PBCN2,Cataluna,1,post,260,851.9
GN,SAGU3,Levante,1,post,249,848.8
GN,PBCN1,Cataluna,1,post,207,848.0
GN,SAGU1,Levante,1,post,259,845.0
GN,PALOS2,Sur,1,post,259,838.9
GN,SAGU2,Levante,1,post,244,838.4
GN,CTGN1,Levante,1,post,259,836.3
GN,PALOS1,Sur,1,post,262,835.4
GN,BES4,Cataluna,1,post,260,834.3
GN,PALOS3,Sur,1,post,247,823.5
GN,CAMGI10,Sur,1,post,252,795.8
GN,CTGN2,Levante,1,post,35,782.5
GN,SBO3,Galicia,0,post,247,856.2
GN,ACE4,Centro,0,post,252,850.7
GN,SROQ1,Sur,1,pre,421,864.3
GN,BES4,Cataluna,1,pre,327,861.5
GN,SAGU1,Levante,1,pre,385,860.0
GN,PBCN2,Cataluna,1,pre,385,850.4
GN,CTGN2,Levante,1,pre,265,850.3
GN,PBCN1,Cataluna,1,pre,409,846.5
GN,MALA1,Sur,1,pre,387,845.6
GN,PALOS2,Sur,1,pre,308,841.7
GN,SAGU3,Levante,1,pre,439,840.7
GN,SAGU2,Levante,1,pre,449,840.6
GN,CTGN1,Levante,1,pre,408,839.6
GN,CTGN3,Levante,1,pre,345,839.5
GN,CAMGI10,Sur,1,pre,422,827.9
GN,PALOS3,Sur,1,pre,435,812.3
GN,PALOS1,Sur,1,pre,386,793.9
GN,ACE4,Centro,0,pre,437,866.7
GN,SBO3,Galicia,0,pre,435,863.2
HC,SRI4R,Norte,0,post,254,208.0
HC,SRI5R,Norte,0,post,256,161.4
HC,SRI5R,Norte,0,pre,174,165.3
HC,SRI4R,Norte,0,pre,447,145.7
IB,ACE3,Centro,1,post,128,147.3
IB,ARCOS3,Sur,0,post,187,222.3
IB,CTN3,Levante,0,post,247,220.0
IB,CTN4,Levante,0,post,241,218.9
IB,TAPOWER,Cataluna,0,post,210,206.6
IB,ESC6,Levante,0,post,223,193.8
IB,STC4,Norte,0,post,175,193.4
IB,CTJON2,Norte,0,post,234,183.8
IB,ARCOS1,Sur,0,post,252,140.5
IB,ARCOS2,Sur,0,post,200,123.7
IB,ACE3,Centro,1,pre,410,155.6
IB,CTN4,Levante,0,pre,427,216.3
IB,ARCOS3,Sur,0,pre,224,214.9
IB,TAPOWER,Cataluna,0,pre,250,213.3
IB,CTN3,Levante,0,pre,393,209.9
IB,ESC6,Levante,0,pre,184,195.7
IB,STC4,Norte,0,pre,325,159.3
IB,ARCOS1,Sur,0,pre,366,153.4
IB,ARCOS2,Sur,0,pre,415,152.7
IB,CTJON2,Norte,0,pre,362,146.5
