regime,zone,up_gwh,dn_gwh
3-sess (Jun-Nov 24),SCB,46.984600000000334,133.78410000000002
3-sess (Jun-Nov 24),SCA,136.41840000000067,190.6692999999999
3-sess (Jun-Nov 24),CT,62.867300000000796,22.50109999999992
3-sess (Jun-Nov 24),RTD,23.29319999999984,18.047400000000014
3-sess (Jun-Nov 24),RBI,0.0,0.0
3-sess (Jun-Nov 24),ASE,1.6672,2.2571000000000003
ISP15-win (Dec24-Mar25),SCB,7.735700000000001,28.71949999999997
ISP15-win (Dec24-Mar25),SCA,44.607300000000016,62.12800000000001
ISP15-win (Dec24-Mar25),CT,50.7889000000005,20.56469999999999
ISP15-win (Dec24-Mar25),RTD,17.54229999999999,3.916300000000003
ISP15-win (Dec24-Mar25),RBI,0.0,0.0
ISP15-win (Dec24-Mar25),ASE,0.4546,2.8235
DA60/ID15 pre-blk,SCB,6.540600000000007,77.3055999999999
DA60/ID15 pre-blk,SCA,27.179199999999952,28.027500000000007
DA60/ID15 pre-blk,CT,42.78629999999989,0.6256
DA60/ID15 pre-blk,RTD,0.4053,4.434699999999991
DA60/ID15 pre-blk,RBI,0.0,0.33420000000000005
DA60/ID15 pre-blk,ASE,0.3403,7.4701
DA60/ID15 post-blk,SCB,94.24250000000053,302.8453999999963
DA60/ID15 post-blk,SCA,325.2022999999903,653.0508000000009
DA60/ID15 post-blk,CT,138.57910000000356,6.788100000000005
DA60/ID15 post-blk,RTD,3.718700000000006,35.18309999999986
DA60/ID15 post-blk,RBI,0.0,0.0
DA60/ID15 post-blk,ASE,2.6531999999999996,7.967200000000001
DA15/ID15 (Oct-Dec 25),SCB,18.100199999999948,121.62400000000017
DA15/ID15 (Oct-Dec 25),SCA,85.93790000000018,126.05570000000019
DA15/ID15 (Oct-Dec 25),CT,138.7471999999994,43.01019999999999
DA15/ID15 (Oct-Dec 25),RTD,23.308799999999906,25.190299999999915
DA15/ID15 (Oct-Dec 25),RBI,0.0,0.0
DA15/ID15 (Oct-Dec 25),ASE,0.34920000000000007,2.301800000000001
