tipo_redespacho,label,regime,n_isps,qty_total_gwh,price_mean_eur,price_median_eur,price_p25_eur,price_p75_eur,price_q_weighted_eur
33,real-time technical restrictions,pre-IDA,39298,3510.248359,-1.2951369026413553,0.0,0.0,0.0,-0.04640553855465813
33,real-time technical restrictions,3-sess,8398,360.200722,-8.303608001905214,0.0,0.0,0.0,-10.470318706246236
33,real-time technical restrictions,ISP15 win,3237,118.56478800000002,-3.3636793327154773,0.0,0.0,0.0,-8.28031258563883
33,real-time technical restrictions,DA60/ID15,10202,1098.633414,-66.40329641246814,-48.0,-100.7525,0.0,-74.86877415171172
33,real-time technical restrictions,DA15/ID15,8671,628.478604,-50.18129512166993,-21.32,-85.87,0.0,-68.20406236655273
34,inter-zonal restrictions resolution,pre-IDA,7253,245.414925,65.346426306356,52.79,30.05,85.0,26.540743538071286
34,inter-zonal restrictions resolution,3-sess,380,2.7171589999999997,54.89505263157894,57.7,26.630000000000003,85.0,52.951837514845465
34,inter-zonal restrictions resolution,ISP15 win,508,1.824763,76.62911417322834,87.24,32.3,111.5625,87.11771147814811
34,inter-zonal restrictions resolution,DA60/ID15,3670,12.885928,29.462223433242507,17.0,0.39,57.79,24.050251687732537
34,inter-zonal restrictions resolution,DA15/ID15,2063,3.999539000000001,30.139946679592825,14.42,0.0,59.230000000000004,32.708456734638666
61,system-security RZ (P.O. 3.2),pre-IDA,198485,30722.939274999997,79.54449449580574,72.42,35.43,114.11,75.82057604938419
61,system-security RZ (P.O. 3.2),3-sess,33708,2911.87625,66.49110863889878,79.5,26.724999999999998,101.65,66.51366210377245
61,system-security RZ (P.O. 3.2),ISP15 win,21885,2009.5021499999998,83.20405437514279,96.35,43.18,121.71,87.7673824916037
61,system-security RZ (P.O. 3.2),DA60/ID15,33959,2994.6560249999998,37.1922306310551,20.0,0.0,82.65,32.96408367368336
61,system-security RZ (P.O. 3.2),DA15/ID15,15377,1242.6423,62.74359953176823,77.01,27.49,90.99,71.63118678058038
68,reserve management,pre-IDA,2632,255.151785,0.0,0.0,0.0,0.0,0.0
68,reserve management,3-sess,189,5.2552710000000005,0.0,0.0,0.0,0.0,0.0
68,reserve management,ISP15 win,73,2.0496999999999996,0.0,0.0,0.0,0.0,0.0
68,reserve management,DA60/ID15,165,5.6734,0.0,0.0,0.0,0.0,0.0
68,reserve management,DA15/ID15,333,11.001961,0.0,0.0,0.0,0.0,0.0
69,voltage control / black-start,pre-IDA,71662,3782.1322939999995,0.0,0.0,0.0,0.0,0.0
69,voltage control / black-start,3-sess,11070,177.99286100000003,0.0,0.0,0.0,0.0,0.0
69,voltage control / black-start,ISP15 win,6895,107.59758000000002,0.0,0.0,0.0,0.0,0.0
69,voltage control / black-start,DA60/ID15,13996,274.561714,0.0,0.0,0.0,0.0,0.0
69,voltage control / black-start,DA15/ID15,14152,301.80532900000003,0.0,0.0,0.0,0.0,0.0
81,other,pre-IDA,166030,41282.93208599999,67.61960910678792,52.75,28.9,94.01,67.92442647666593
81,other,3-sess,18969,2090.237625,64.39016184300701,77.0,10.0,103.11,66.36897171141007
81,other,ISP15 win,20197,1780.524,75.9586760409962,83.0,38.0,114.89,72.92427768567006
81,other,DA60/ID15,36073,3219.839625,47.05324453192138,38.0,0.0,90.79,49.190976523558994
81,other,DA15/ID15,42290,4634.679975,51.199236698983206,55.0,0.0,92.26,51.66828357517824
92,mFRR activation,pre-IDA,37726,6341.119744999999,0.0,0.0,0.0,0.0,0.0
92,mFRR activation,3-sess,4882,471.064591,0.0,0.0,0.0,0.0,0.0
92,mFRR activation,ISP15 win,4357,545.973966,0.0,0.0,0.0,0.0,0.0
92,mFRR activation,DA60/ID15,6698,958.2471669999999,0.0,0.0,0.0,0.0,0.0
92,mFRR activation,DA15/ID15,7241,887.2274739999999,0.0,0.0,0.0,0.0,0.0
94,system balancing,pre-IDA,83985,8852.7729,0.0,0.0,0.0,0.0,0.0
94,system balancing,3-sess,15580,1306.0858,0.0,0.0,0.0,0.0,0.0
94,system balancing,ISP15 win,9341,778.9913,0.0,0.0,0.0,0.0,0.0
94,system balancing,DA60/ID15,13826,1070.384875,0.0,0.0,0.0,0.0,0.0
94,system balancing,DA15/ID15,5723,415.18609999999995,0.0,0.0,0.0,0.0,0.0
